material_id,cif_file,formula,formation_energy_per_atom,energy_above_hull,band_gap,density,volume,target
mp-554873,mp-554873.cif,Ag2B8O13,-2.510655715724636,0.0,3.4397,3.401789519714084,996.2222434020954,-2.510655715724636
mp-759792,mp-759792.cif,Ag2B8O13,-2.499107242137681,0.011548473586955,2.858,3.391398519078204,999.27459655565,-2.499107242137681
mp-559071,mp-559071.cif,Ag2Bi2S3Cl2,-0.7483002703703701,0.004958104166663001,1.6367999999999991,5.894385992000153,902.3886100216055,-0.7483002703703701
mp-1229130,mp-1229130.cif,Ag2Bi2SeS3,-0.25843445743055604,0.055230881736111,0.188999999999999,7.108014722541554,188.96003028045283,-0.25843445743055604
mp-23558,mp-23558.cif,Ag2BiO3,-0.9173112705555521,0.0,0.38720000000000004,8.565435840877605,366.5717609472597,-0.9173112705555521
mp-558712,mp-558712.cif,Ag2BiO3,-0.913087568055555,0.004223702499997001,0.0,8.205652827985512,382.644375199835,-0.913087568055555
mp-561113,mp-561113.cif,Ag2BiO3,-0.9160639168055551,0.0012473537499970001,0.5053000000000001,8.24145910187676,380.9819184513412,-0.9160639168055551
mp-1229134,mp-1229134.cif,Ag2BiSb(TeSe)2,-0.32729042141927,0.097006573749999,0.0,7.329475559716415,217.40272705759577,-0.32729042141927
mp-1229120,mp-1229120.cif,Ag2BiSbSe4,-0.22952493848958602,0.046519244062498,0.0,7.179529875820542,199.4435233159117,-0.22952493848958602
mp-1229125,mp-1229125.cif,Ag2BiSbTe4,-0.277884851249999,0.0681134225,0.0,7.423833901652597,236.39877160944062,-0.277884851249999
mp-862982,mp-862982.cif,Ag2Br3,-0.589244397666665,0.0,0.0,5.725566588271111,264.1799197898534,-0.589244397666665
mp-556345,mp-556345.cif,Ag2BrNO3,-0.6550704147619041,0.019580985714285,1.6045,5.030349553075043,472.2407350581327,-0.6550704147619041
mp-1178578,mp-1178578.cif,Ag2CO3,-1.062045303888889,0.027453814166666,0.449999999999999,5.542295022453813,495.6998946028079,-1.062045303888889
mp-1229177,mp-1229177.cif,Ag2CO3,-1.059921021666666,0.029578096388888003,0.0,5.546454345509773,247.6640829751134,-1.059921021666666
mp-4691,mp-4691.cif,Ag2CO3,-1.089499118055555,0.0,0.4736,6.103459150948377,150.04142135044484,-1.089499118055555
mp-560717,mp-560717.cif,Ag2CO3,-1.062745886666667,0.026753231388888,0.7489999999999991,6.057486548653496,453.5404307416441,-1.062745886666667
mp-676581,mp-676581.cif,Ag2CO3,-1.059830794722222,0.029668323333333003,0.746,5.431964240271561,505.76825195570046,-1.059830794722222
mp-864635,mp-864635.cif,Ag2Cl3,-0.499390825499999,0.0,0.0,4.6617796841379775,229.46257914848442,-0.499390825499999
mp-1391,mp-1391.cif,Ag2F,-0.8383200133333321,0.0,0.0,8.762918242663323,44.481336035584704,-0.8383200133333321
mp-861945,mp-861945.cif,Ag2F3,-1.200418772999999,0.035600740500001005,0.0,5.946934730142781,152.3075375762956,-1.200418772999999
mp-542298,mp-542298.cif,Ag2F5,-1.229926874642856,0.0,0.0,5.361662383872384,384.93783228333723,-1.229926874642856
mp-1196546,mp-1196546.cif,Ag2Ge(S2O7)3,-1.599947565999999,0.0,2.8072,3.197653665902322,2544.8376861250085,-1.599947565999999
mp-554988,mp-554988.cif,Ag2Ge2O5,-1.485430639074073,0.05755108907407001,1.0401,6.113411017503664,1437.4691526494996,-1.485430639074073
mp-983589,mp-983589.cif,Ag2GeO3,-1.20002395347222,0.036120807083332006,0.2116,6.505166443541104,343.4581846043545,-1.20002395347222
mp-861942,mp-861942.cif,Ag2GePbS4,-0.550358512291666,0.0,1.3699,5.680462312578542,364.72549463914106,-0.550358512291666
mp-9900,mp-9900.cif,Ag2GeS3,-0.46699392263888906,0.0,0.4646,4.7677750672269035,267.88001723767724,-0.46699392263888906
mp-1096802,mp-1096802.cif,Ag2GeSe3,-0.424073460060761,0.000986133281251,0.062599999999999,5.642427207102897,309.1608416617966,-0.424073460060761
mp-1202797,mp-1202797.cif,Ag2H12C3S3(BrN3)2,-0.43362197752976106,0.035553705269679,2.7767,2.485787848613867,806.8356544920883,-0.43362197752976106
mp-723002,mp-723002.cif,Ag2H12S(NO)4,-0.7796728774275351,0.026502457499999,2.9514,2.6553447441244913,475.1727984414992,-0.7796728774275351
mp-778019,mp-778019.cif,Ag2H16O9,-1.095874616975308,0.076976250185183,2.5301,2.5644140931167883,973.5197768425014,-1.095874616975308
